treatment;strain;replicate;indi;dead;survival_days
only;BE;BEO1;BEO1.1;1;8
only;BE;BEO1;BEO1.2;0;9
only;BE;BEO1;BEO1.3;0;9
only;BE;BEO1;BEO1.4;0;9
only;BE;BEO1;BEO1.5;0;9
only;BE;BEO2;BEO2.1;0;9
only;BE;BEO2;BEO2.2;0;9
only;BE;BEO2;BEO2.3;0;9
only;BE;BEO2;BEO2.4;0;9
only;BE;BEO2;BEO2.5;0;9
only;BE;BEO3;BEO3.1;0;9
only;BE;BEO3;BEO3.2;0;9
only;BE;BEO3;BEO3.3;0;9
only;BE;BEO3;BEO3.4;0;9
only;BE;BEO3;BEO3.5;0;9
only;BE;BEO4;BEO4.1;0;9
only;BE;BEO4;BEO4.2;0;9
only;BE;BEO4;BEO4.3;0;9
only;BE;BEO4;BEO4.4;0;9
only;BE;BEO4;BEO4.5;0;9
only;BE;BEO5;BEO5.1;0;9
only;BE;BEO5;BEO5.2;0;9
only;BE;BEO5;BEO5.3;0;9
only;BE;BEO5;BEO5.4;0;9
only;BE;BEO5;BEO5.5;0;9
low;BE;BEL1;BEL1.1;0;9
low;BE;BEL1;BEL1.2;0;9
low;BE;BEL1;BEL1.3;0;9
low;BE;BEL1;BEL1.4;0;9
low;BE;BEL1;BEL1.5;0;9
low;BE;BEL2;BEL2.1;0;9
low;BE;BEL2;BEL2.2;0;9
low;BE;BEL2;BEL2.3;0;9
low;BE;BEL2;BEL2.4;0;9
low;BE;BEL2;BEL2.5;0;9
low;BE;BEL3;BEL3.1;0;9
low;BE;BEL3;BEL3.2;0;9
low;BE;BEL3;BEL3.3;0;9
low;BE;BEL3;BEL3.4;0;9
low;BE;BEL3;BEL3.5;0;9
low;BE;BEL4;BEL4.1;0;9
low;BE;BEL4;BEL4.2;0;9
low;BE;BEL4;BEL4.3;0;9
low;BE;BEL4;BEL4.4;0;9
low;BE;BEL4;BEL4.5;0;9
low;BE;BEL5;BEL5.1;0;9
low;BE;BEL5;BEL5.2;0;9
low;BE;BEL5;BEL5.3;0;9
low;BE;BEL5;BEL5.4;0;9
low;BE;BEL5;BEL5.5;0;9
intermediate;BE;BEI1;BEI1.1;0;9
intermediate;BE;BEI1;BEI1.2;0;9
intermediate;BE;BEI1;BEI1.3;0;9
intermediate;BE;BEI1;BEI1.4;0;9
intermediate;BE;BEI1;BEI1.5;0;9
intermediate;BE;BEI2;BEI2.1;0;9
intermediate;BE;BEI2;BEI2.2;0;9
intermediate;BE;BEI2;BEI2.3;0;9
intermediate;BE;BEI2;BEI2.4;0;9
intermediate;BE;BEI2;BEI2.5;0;9
intermediate;BE;BEI3;BEI3.1;0;9
intermediate;BE;BEI3;BEI3.2;0;9
intermediate;BE;BEI3;BEI3.3;0;9
intermediate;BE;BEI3;BEI3.4;0;9
intermediate;BE;BEI3;BEI3.5;0;9
intermediate;BE;BEI4;BEI4.1;0;9
intermediate;BE;BEI4;BEI4.2;0;9
intermediate;BE;BEI4;BEI4.3;0;9
intermediate;BE;BEI4;BEI4.4;0;9
intermediate;BE;BEI4;BEI4.5;0;9
intermediate;BE;BEI5;BEI5.1;0;9
intermediate;BE;BEI5;BEI5.2;0;9
intermediate;BE;BEI5;BEI5.3;0;9
intermediate;BE;BEI5;BEI5.4;0;9
intermediate;BE;BEI5;BEI5.5;0;9
high;BE;BEH1;BEH1.1;0;9
high;BE;BEH1;BEH1.2;0;9
high;BE;BEH1;BEH1.3;0;9
high;BE;BEH1;BEH1.4;0;9
high;BE;BEH1;BEH1.5;0;9
high;BE;BEH2;BEH2.1;0;9
high;BE;BEH2;BEH2.2;0;9
high;BE;BEH2;BEH2.3;0;9
high;BE;BEH2;BEH2.4;0;9
high;BE;BEH2;BEH2.5;0;9
high;BE;BEH3;BEH3.1;0;9
high;BE;BEH3;BEH3.2;0;9
high;BE;BEH3;BEH3.3;0;9
high;BE;BEH3;BEH3.4;0;9
high;BE;BEH3;BEH3.5;0;9
high;BE;BEH4;BEH4.1;0;9
high;BE;BEh4;BEH4.2;0;9
high;BE;BEH4;BEH4.3;0;9
high;BE;BEH4;BEH4.4;0;9
high;BE;BEH4;BEH4.5;0;9
high;BE;BEH5;BEH5.1;0;9
high;BE;BEH5;BEH5.2;0;9
high;BE;BEH5;BEH5.3;0;9
high;BE;BEH5;BEH5.4;0;9
high;BE;BEH5;BEH5.5;0;9
only;DE;DEO1;DEO1.1;1;2
only;DE;DEO1;DEO1.2;0;9
only;DE;DEO1;DEO1.3;0;9
only;DE;DEO1;DEO1.4;0;9
only;DE;DEO1;DEO1.5;0;9
only;DE;DEO2;DEO2.1;0;9
only;DE;DEO2;DEO2.2;0;9
only;DE;DEO2;DEO2.3;0;9
only;DE;DEO2;DEO2.4;0;9
only;DE;DEO2;DEO2.5;0;9
only;DE;DEO3;DEO3.1;1;7
only;DE;DEO3;DEO3.2;0;9
only;DE;DEO3;DEO3.3;0;9
only;DE;DEO3;DEO3.4;0;9
only;DE;DEO3;DEO3.5;0;9
only;DE;DEO4;DEO4.1;1;5
only;DE;DEO4;DEO4.2;0;9
only;DE;DEO4;DEO4.3;0;9
only;DE;DEO4;DEO4.4;0;9
only;DE;DEO4;DEO4.5;0;9
only;DE;DEO5;DEO5.1;1;5
only;DE;DEO5;DEO5.2;1;8
only;DE;DEO5;DEO5.3;0;9
only;DE;DEO5;DEO5.4;0;9
only;DE;DEO5;DEO5.5;0;9
low;DE;DEL1;DEL1.1;0;9
low;DE;DEL1;DEL1.2;0;9
low;DE;DEL1;DEL1.3;0;9
low;DE;DEL1;DEL1.4;0;9
low;DE;DEL1;DEL1.5;0;9
low;DE;DEL2;DEL2.1;0;9
low;DE;DEL2;DEL2.2;0;9
low;DE;DEL2;DEL2.3;0;9
low;DE;DEL2;DEL2.4;0;9
low;DE;DEL2;DEL2.5;0;9
low;DE;DEL3;DEL3.1;0;9
low;DE;DEL3;DEL3.2;0;9
low;DE;DEL3;DEL3.3;0;9
low;DE;DEL3;DEL3.4;0;9
low;DE;DEL3;DEL3.5;0;9
low;DE;DEL4;DEL4.1;1;5
low;DE;DEL4;DEL4.2;0;9
low;DE;DEL4;DEL4.3;0;9
low;DE;DEL4;DEL4.4;0;9
low;DE;DEL4;DEL4.5;0;9
low;DE;DEL5;DEL5.1;0;9
low;DE;DEL5;DEL5.2;0;9
low;DE;DEL5;DEL5.3;0;9
low;DE;DEL5;DEL5.4;0;9
low;DE;DEL5;DEL5.5;0;9
intermediate;DE;DEI1;DEI1.1;0;9
intermediate;DE;DEI1;DEI1.2;0;9
intermediate;DE;DEI1;DEI1.3;0;9
intermediate;DE;DEI1;DEI1.4;0;9
intermediate;DE;DEI1;DEI1.5;0;9
intermediate;DE;DEI2;DEI2.1;0;9
intermediate;DE;DEI2;DEI2.2;0;9
intermediate;DE;DEI2;DEI2.3;0;9
intermediate;DE;DEI2;DEI2.4;0;9
intermediate;DE;DEI2;DEI2.5;0;9
intermediate;DE;DEI3;DEI3.1;0;9
intermediate;DE;DEI3;DEI3.2;0;9
intermediate;DE;DEI3;DEI3.3;0;9
intermediate;DE;DEI3;DEI3.4;0;9
intermediate;DE;DEI3;DEI3.5;0;9
intermediate;DE;DEI4;DEI4.1;0;9
intermediate;DE;DEI4;DEI4.2;0;9
intermediate;DE;DEI4;DEI4.3;0;9
