sample name;treatment;strain;replicate;anzahl_daphnia;sampling;total_dry_weight
vorher A1;O;DE;1;31;0;0,2
vorher A2;O;DE;2;20;0;0,274
vorher A3;O;DE;3;19;0;0,313
vorher A4;O;DE;4;21;0;0,262
vorher A5;O;DE;5;27;0;0,251
vorher A1;O;BE;1;31;0;0,2
vorher A2;O;BE;2;20;0;0,274
vorher A3;O;BE;3;19;0;0,313
vorher A4;O;BE;4;21;0;0,262
vorher A5;O;BE;5;27;0;0,251
vorher A1;O;NO;1;31;0;0,2
vorher A2;O;NO;2;20;0;0,274
vorher A3;O;NO;3;19;0;0,313
vorher A4;O;NO;4;21;0;0,262
vorher A5;O;NO;5;27;0;0,251
vorher A1;O;FI;1;31;0;0,2
vorher A2;O;FI;2;20;0;0,274
vorher A3;O;FI;3;19;0;0,313
vorher A4;O;FI;4;21;0;0,262
vorher A5;O;FI;5;27;0;0,251
vorher A1;L;DE;1;31;0;0,2
vorher A2;L;DE;2;20;0;0,274
vorher A3;L;DE;3;19;0;0,313
vorher A4;L;DE;4;21;0;0,262
vorher A5;L;DE;5;27;0;0,251
vorher A1;L;BE;1;31;0;0,2
vorher A2;L;BE;2;20;0;0,274
vorher A3;L;BE;3;19;0;0,313
vorher A4;L;BE;4;21;0;0,262
vorher A5;L;BE;5;27;0;0,251
vorher A1;L;NO;1;31;0;0,2
vorher A2;L;NO;2;20;0;0,274
vorher A3;L;NO;3;19;0;0,313
vorher A4;L;NO;4;21;0;0,262
vorher A5;L;NO;5;27;0;0,251
vorher A1;L;FI;1;31;0;0,2
vorher A2;L;FI;2;20;0;0,274
vorher A3;L;FI;3;19;0;0,313
vorher A4;L;FI;4;21;0;0,262
vorher A5;L;FI;5;27;0;0,251
vorher A1;I;DE;1;31;0;0,2
vorher A2;I;DE;2;20;0;0,274
vorher A3;I;DE;3;19;0;0,313
vorher A4;I;DE;4;21;0;0,262
vorher A5;I;DE;5;27;0;0,251
vorher A1;I;BE;1;31;0;0,2
vorher A2;I;BE;2;20;0;0,274
vorher A3;I;BE;3;19;0;0,313
vorher A4;I;BE;4;21;0;0,262
vorher A5;I;BE;5;27;0;0,251
vorher A1;I;NO;1;31;0;0,2
vorher A2;I;NO;2;20;0;0,274
vorher A3;I;NO;3;19;0;0,313
vorher A4;I;NO;4;21;0;0,262
vorher A5;I;NO;5;27;0;0,251
vorher A1;I;FI;1;31;0;0,2
vorher A2;I;FI;2;20;0;0,274
vorher A3;I;FI;3;19;0;0,313
vorher A4;I;FI;4;21;0;0,262
vorher A5;I;FI;5;27;0;0,251
vorher A1;H;DE;1;31;0;0,2
vorher A2;H;DE;2;20;0;0,274
vorher A3;H;DE;3;19;0;0,313
vorher A4;H;DE;4;21;0;0,262
vorher A5;H;DE;5;27;0;0,251
vorher A1;H;BE;1;31;0;0,2
vorher A2;H;BE;2;20;0;0,274
vorher A3;H;BE;3;19;0;0,313
vorher A4;H;BE;4;21;0;0,262
vorher A5;H;BE;5;27;0;0,251
vorher A1;H;NO;1;31;0;0,2
vorher A2;H;NO;2;20;0;0,274
vorher A3;H;NO;3;19;0;0,313
vorher A4;H;NO;4;21;0;0,262
vorher A5;H;NO;5;27;0;0,251
vorher A1;H;FI;1;31;0;0,2
vorher A2;H;FI;2;20;0;0,274
vorher A3;H;FI;3;19;0;0,313
vorher A4;H;FI;4;21;0;0,262
vorher A5;H;FI;5;27;0;0,251
Daphnien_I_A1;O;NO;1;5;8;0,652
Daphnien_I_A2;O;NO;2;4;8;0,476
Daphnien_I_A3;O;NO;3;5;8;0,459
Daphnien_I_A4;O;NO;4;3;8;0,472
Daphnien_I_A5;O;NO;5;4;8;0,445
Daphnien_I_A6;L;NO;1;5;8;0,862
Daphnien_I_B1;L;NO;2;4;8;0,588
Daphnien_I_B2;L;NO;3;5;8;0,747
Daphnien_I_B3;L;NO;4;5;8;1,027
Daphnien_I_B4;L;NO;5;4;8;0,674
Daphnien_I_B5;I;NO;1;4;8;0,62
Daphnien_I_C1;I;NO;2;4;8;0,774
Daphnien_I_C2;I;NO;3;5;8;0,948
Daphnien_I_C3;I;NO;4;4;8;0,849
Daphnien_I_C4;I;NO;5;4;8;0,751
