Species;Maren;Mike;Dome;Charlotte;Laura;Henrik;Toni;Lisa;Amina;Wiebke;Jonas;Meike;Annika;Marie;Annika 2.0;Frank;Elina;Joshua;Tanja;Melina;Rebecca;Stella;Fabienne;Johanna;Anna;Paul;Vivi;Ariana
Apfel-Fruchtgummi_gruen;1;2;5;1;6;0;3;0;4;1;1;1;1;1;1;0;0;0;1;2;0;1;0;0;3;1;0;0
Colaflasche_braun;12;11;9;9;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Colaflasche_weiss;18;24;5;26;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fledermaus_gelb;5;7;3;8;10;0;0;0;3;2;1;0;2;2;0;0;0;0;3;7;1;2;2;4;2;1;2;1
Fledermaus_gruen;1;5;1;4;4;2;1;0;1;2;0;0;2;4;1;3;1;2;0;2;0;3;1;3;1;3;0;0
Fledermaus_orange;8;4;6;9;9;1;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Fledermaus_rot;4;9;7;5;7;1;1;1;1;2;2;1;0;1;0;0;6;3;0;2;1;0;0;5;2;1;3;2
Fledermaus_schwarz;10;10;5;6;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Frosch_gelb;2;5;7;3;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0
Frosch_gruen;4;4;5;1;4;1;5;1;0;1;6;0;2;4;2;5;5;1;3;5;1;2;1;5;3;4;4;5
Frosch_orange;6;3;3;7;6;2;3;0;0;6;1;1;3;5;1;1;3;0;1;0;3;2;0;2;0;2;0;5
Frosch_rot;3;4;6;2;3;1;1;0;2;2;3;1;0;4;2;2;4;1;1;2;2;1;2;1;1;0;0;0
Gummibaer_gelb;2;5;4;3;5;0;6;2;4;6;4;5;3;0;3;2;0;2;2;2;5;2;2;1;3;6;4;9
Gummibaer_gruen;6;2;3;2;1;0;5;3;2;1;3;2;1;5;2;1;0;1;2;3;4;4;3;4;2;4;3;10
Gummibaer_orange;4;4;1;0;0;0;2;0;6;4;3;3;2;3;7;5;2;2;2;1;4;4;0;3;4;5;1;7
