Station;Treatment;Replikat;Tag;Chl_roh1;Chl_roh2;Chl_roh3
2;Kontrolle;1;0;128.4;147.1;116.8
2;Kontrolle;2;0;128.4;147.1;116.8
2;Kontrolle;3;0;128.4;147.1;116.8
2;P;1;0;128.4;147.1;116.8
2;P;2;0;128.4;147.1;116.8
2;P;3;0;128.4;147.1;116.8
2;N;1;0;128.4;147.1;116.8
2;N;2;0;128.4;147.1;116.8
2;N;3;0;128.4;147.1;116.8
2;Si;1;0;128.4;147.1;116.8
2;Si;2;0;128.4;147.1;116.8
2;Si;3;0;128.4;147.1;116.8
2;N+P;1;0;128.4;147.1;116.8
2;N+P;2;0;128.4;147.1;116.8
2;N+P;3;0;128.4;147.1;116.8
2;N+Si;1;0;128.4;147.1;116.8
2;N+Si;2;0;128.4;147.1;116.8
2;N+Si;3;0;128.4;147.1;116.8
2;P+Si;1;0;128.4;147.1;116.8
2;P+Si;2;0;128.4;147.1;116.8
2;P+Si;3;0;128.4;147.1;116.8
2;N+P+Si;1;0;128.4;147.1;116.8
2;N+P+Si;2;0;128.4;147.1;116.8
2;N+P+Si;3;0;128.4;147.1;116.8
4;Kontrolle;1;0;90.68;98.15;81.22
4;Kontrolle;2;0;90.68;98.15;81.22
4;Kontrolle;3;0;90.68;98.15;81.22
4;P;1;0;90.68;98.15;81.22
4;P;2;0;90.68;98.15;81.22
4;P;3;0;90.68;98.15;81.22
4;N;1;0;90.68;98.15;81.22
4;N;2;0;90.68;98.15;81.22
4;N;3;0;90.68;98.15;81.22
4;Si;1;0;90.68;98.15;81.22
4;Si;2;0;90.68;98.15;81.22
4;Si;3;0;90.68;98.15;81.22
4;N+P;1;0;90.68;98.15;81.22
4;N+P;2;0;90.68;98.15;81.22
4;N+P;3;0;90.68;98.15;81.22
4;N+Si;1;0;90.68;98.15;81.22
4;N+Si;2;0;90.68;98.15;81.22
4;N+Si;3;0;90.68;98.15;81.22
4;P+Si;1;0;90.68;98.15;81.22
4;P+Si;2;0;90.68;98.15;81.22
4;P+Si;3;0;90.68;98.15;81.22
4;N+P+Si;1;0;90.68;98.15;81.22
4;N+P+Si;2;0;90.68;98.15;81.22
4;N+P+Si;3;0;90.68;98.15;81.22
6;Kontrolle;1;0;88.93;94.12;95.98
6;Kontrolle;2;0;88.93;94.12;95.98
6;Kontrolle;3;0;88.93;94.12;95.98
6;P;1;0;88.93;94.12;95.98
6;P;2;0;88.93;94.12;95.98
6;P;3;0;88.93;94.12;95.98
6;N;1;0;88.93;94.12;95.98
6;N;2;0;88.93;94.12;95.98
6;N;3;0;88.93;94.12;95.98
6;Si;1;0;88.93;94.12;95.98
6;Si;2;0;88.93;94.12;95.98
6;Si;3;0;88.93;94.12;95.98
6;N+P;1;0;88.93;94.12;95.98
6;N+P;2;0;88.93;94.12;95.98
6;N+P;3;0;88.93;94.12;95.98
6;N+Si;1;0;88.93;94.12;95.98
6;N+Si;2;0;88.93;94.12;95.98
6;N+Si;3;0;88.93;94.12;95.98
6;P+Si;1;0;88.93;94.12;95.98
6;P+Si;2;0;88.93;94.12;95.98
6;P+Si;3;0;88.93;94.12;95.98
6;N+P+Si;1;0;88.93;94.12;95.98
6;N+P+Si;2;0;88.93;94.12;95.98
6;N+P+Si;3;0;88.93;94.12;95.98
2;Kontrolle;1;6;169.8;308.0;319.0
2;Kontrolle;2;6;294.5;295.8;279.0
2;Kontrolle;3;6;338.8;354.0;369.7
2;P;1;6;270.6;262.3;304.7
2;P;2;6;403.1;483.5;454.9
2;P;3;6;306.4;269.6;285.6
2;N;1;6;298.4;337.9;264.4
2;N;2;6;827.5;815.0;854.3
2;N;3;6;580.2;482.8;672.6
2;Si;1;6;686.9;651.8;586.5
2;Si;2;6;637.5;626.2;610.1
2;Si;3;6;506.0;614.8;506.8
2;N+P;1;6;617.0;575.5;668.0
2;N+P;2;6;582.1;598.7;502.1
2;N+P;3;6;724.8;766.1;825.3
2;N+Si;1;6;806.4;727.3;756.0
2;N+Si;2;6;1266;1013;1057
2;N+Si;3;6;982.9;942.4;998.8
2;P+Si;1;6;511.7;510.8;484.5
2;P+Si;2;6;544.4;661.6;778.2
2;P+Si;3;6;191.7;209.4;167.4
2;N+P+Si;1;6;606.1;586.8;608.7
2;N+P+Si;2;6;1342;1326;1339
2;N+P+Si;3;6;819.6;687.8;695.9
4;Kontrolle;1;6;347.0;398.2;408.5
4;Kontrolle;2;6;461.3;465.6;407.2
4;Kontrolle;3;6;281.1;225.8;228.1
4;P;1;6;611.4;560.4;657.7
4;P;2;6;726.5;666.6;788.3
4;P;3;6;226.8;294.7;253.2
4;N;1;6;368.9;485.3;365.00
4;N;2;6;149.7;141.3;198.6
4;N;3;6;517.7;495.7;505.2
4;Si;1;6;306.2;337.5;292.0
4;Si;2;6;350.5;394.7;371.4
4;Si;3;6;655.2;583.3;540.4
4;N+P;1;6;619.2;662.9;668.8
4;N+P;2;6;280.3;328.3;376.6
4;N+P;3;6;196.0;128.8;154.0
4;N+Si;1;6;891.3;856.8;878.7
4;N+Si;2;6;731.9;770.5;782.5
4;N+Si;3;6;276.6;295.6;287.0
4;P+Si;1;6;255.8;238.7;269.0
4;P+Si;2;6;513.2;467.9;504.9
4;P+Si;3;6;245.3;220.9;250.5
4;N+P+Si;1;6;1005;865.8;899.9
4;N+P+Si;2;6;652.2;738.6;666.5
4;N+P+Si;3;6;1251;1254;1307.0
6;Kontrolle;1;6;231;234.8;227.0
6;Kontrolle;2;6;113.7;107.8;110.4
6;Kontrolle;3;6;364.3;400.2;320.1
6;P;1;6;345.8;314.7;303.3
6;P;2;6;253.0;229.0;226.8
6;P;3;6;230.0;220.6;244.0
6;N;1;6;209.0;199.0;183.3
6;N;2;6;562.1;627.5;596.6
6;N;3;6;529.7;489.0;593.9
6;Si;1;6;324.0;364.8;371.9
6;Si;2;6;355.1;386.5;392.0
