"date","month","year","species","group","habitat","abund"
2007-01-04,1,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-01-11,1,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-01-15,1,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-01-18,1,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-01-23,1,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-01-25,1,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-01-29,1,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-02-01,2,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-02-05,2,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-02-07,2,2007,"C_hamatus_nau","copepodNaup","pelagic",57
2007-02-13,2,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-02-15,2,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-02-19,2,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-02-22,2,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-02-26,2,2007,"C_hamatus_nau","copepodNaup","pelagic",114
2007-03-01,3,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-03-05,3,2007,"C_hamatus_nau","copepodNaup","pelagic",57
2007-03-08,3,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-03-12,3,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-03-15,3,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-03-19,3,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-03-22,3,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-03-26,3,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-03-28,3,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-04-05,4,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-04-10,4,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-04-12,4,2007,"C_hamatus_nau","copepodNaup","pelagic",114
2007-04-16,4,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-04-19,4,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-04-26,4,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-04-30,4,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-05-03,5,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-05-07,5,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-05-10,5,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-05-14,5,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-05-16,5,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-05-21,5,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-05-24,5,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-05-29,5,2007,"C_hamatus_nau","copepodNaup","pelagic",114
2007-05-31,5,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-06-04,6,2007,"C_hamatus_nau","copepodNaup","pelagic",457
2007-06-11,6,2007,"C_hamatus_nau","copepodNaup","pelagic",114
2007-06-14,6,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-06-18,6,2007,"C_hamatus_nau","copepodNaup","pelagic",114
2007-06-21,6,2007,"C_hamatus_nau","copepodNaup","pelagic",114
2007-06-25,6,2007,"C_hamatus_nau","copepodNaup","pelagic",114
2007-06-28,6,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-07-02,7,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-07-05,7,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-07-09,7,2007,"C_hamatus_nau","copepodNaup","pelagic",114
2007-07-12,7,2007,"C_hamatus_nau","copepodNaup","pelagic",229
2007-07-19,7,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-07-23,7,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-07-26,7,2007,"C_hamatus_nau","copepodNaup","pelagic",114
2007-07-30,7,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-08-03,8,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-08-06,8,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-08-09,8,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-08-13,8,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-08-16,8,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-08-20,8,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-08-23,8,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-08-27,8,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-08-30,8,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-09-06,9,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-09-10,9,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-09-13,9,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-09-17,9,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-09-20,9,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-09-24,9,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-09-27,9,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-10-01,10,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-10-04,10,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-10-08,10,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-10-11,10,2007,"C_hamatus_nau","copepodNaup","pelagic",0
2007-10-15,10,2007,"C_hamatus_nau","copepodNaup","pelagic",0
